,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,baseline_result,correct/incorrect,predicted_letter,gold_letter,CoT_result,reasoning,predicted_letter_CoT,correct/incorrect_CoT
8988,,How long is a parking space?,"['7 centimeters', '7 meters', '7 millimeters', '7 kilometers']",1,Select the best estimate.,closed choice,grade7,natural science,units-and-measurement,Flip-to-correct,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a parking space is 7 meters.
7 millimeters and 7 centimeters are too short. 7 kilometers is too long.",D,0,D,B,Reasoning:A parking space is 7 meters long. The final answer: (B).,A parking space is 7 meters long.,B,1
12575,,Select the invertebrate.,"['pipevine swallowtail butterfly', 'human', 'whiptail lizard', 'cockatoo']",0,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A whiptail lizard is a reptile. Like other reptiles, a whiptail lizard is a vertebrate. It has a backbone.
A cockatoo is a bird. Like other birds, a cockatoo is a vertebrate. It has a backbone.
A human is a mammal. Like other mammals, a human is a vertebrate. It has a backbone.
A pipevine swallowtail butterfly is an insect. Like other insects, a pipevine swallowtail butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.",pipevine swallowtail butterfly,0,,A,Reasoning:Pipevine swallowtail butterfly is a species of invertebrate. Pipevine swallowtail butterfly is an invertebrate. The final answer: (A).,Pipevine swallowtail butterfly is a species of invertebrate. Pipevine swallowtail butterfly is an invertebrate.,A,1
2208,,"Which type of sentence is this?
Leonardo da Vinci, who was a renowned painter and sculptor, was also an inventor and scientist.","['compound', 'complex', 'compound-complex', 'simple']",1,,closed choice,grade10,language science,grammar,Flip-to-correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is complex. It is made up of an independent clause and a dependent clause. The dependent clause begins with the relative pronoun who.
Leonardo da Vinci, who was a renowned painter and sculptor, was also an inventor and scientist.",(A),0,A,B,Reasoning:Leonardo da Vinci was a painter and sculptor. He was also an inventor and scientist. The final answer: (B).,Leonardo da Vinci was a painter and sculptor. He was also an inventor and scientist.,B,1
8654,,"Which type of sentence is this?
As Mike sat down on the rickety old chair, it abruptly collapsed beneath him.","['compound', 'simple', 'compound-complex', 'complex']",3,,closed choice,grade12,language science,grammar,Flip-to-correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is complex. It is made up of an independent clause and a dependent clause. The dependent clause begins with the subordinating conjunction as.
As Mike sat down on the rickety old chair, it abruptly collapsed beneath him.",(C),0,C,D,"Reasoning:Chairs are rickety and hard to sit on. As Mike sat down on the rickety old chair, it abruptly collapsed beneath him. The final answer: (D).","Chairs are rickety and hard to sit on. As Mike sat down on the rickety old chair, it abruptly collapsed beneath him.",D,1
4142,,"Which type of sentence is this?
An avid reader, Hakim attends weekly book club meetings, and he finishes several novels every month.","['simple', 'compound', 'compound-complex', 'complex']",1,,closed choice,grade10,language science,grammar,Flip-to-correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is compound. It is made up of two independent clauses joined by the coordinating conjunction and.
An avid reader, Hakim attends weekly book club meetings, and he finishes several novels every month.",Hakim is an avid,0,,B,"Reasoning:Hakim is an avid reader, and he reads several novels every month. The final answer: (B).","Hakim is an avid reader, and he reads several novels every month.",B,1
2423,,How long is a potato?,"['7 yards', '7 inches', '7 feet', '7 miles']",1,Select the best estimate.,closed choice,grade7,natural science,units-and-measurement,Flip-to-correct,"Choose customary units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using customary units, length may be written with units of inches, feet, yards, or miles.
There are 12 inches in 1 foot, and 3 feet in 1 yard. There are 5,280 feet in 1 mile.
A football is about 1 foot long. A football field is 100 yards long.","The best estimate for the length of a potato is 7 inches.
7 feet, 7 yards, and 7 miles are all too long.",7 inches,0,,B,Reasoning:A potato is 7 inches long. The final answer: (B).,A potato is 7 inches long.,B,1
10446,,"What do these two changes have in common?
butter melting on a hot day
grilling a hamburger","['Both are chemical changes.', 'Both are only physical changes.', 'Both are caused by heating.', 'Both are caused by cooling.']",2,,closed choice,grade4,natural science,chemistry,Flip-to-correct,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Butter melting on a hot day is a change of state. So, it is a physical change. The butter changes from solid to liquid, but it is still made of the same type of matter.
Grilling a hamburger is a chemical change. Heat from the grill causes the matter in the meat to change. Cooked meat and raw meat are different types of matter.
Step 2: Look at each answer choice.
Both are only physical changes.
Butter melting on a hot day is a physical change. But grilling a hamburger is not.
Both are chemical changes.
Grilling a hamburger is a chemical change. But butter melting on a hot day is not.
Both are caused by heating.
Both changes are caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(A),0,A,C,Reasoning:Butter melting on a hot day grilling a hamburger is the same as butter melting on a cold day. The final answer: (C).,Butter melting on a hot day grilling a hamburger is the same as butter melting on a cold day.,C,1
5246,,Select the living thing.,"['clownfish', 'beach ball', 'helicopter', 'bracelet']",0,,closed choice,grade4,natural science,biology,Flip-to-correct,Identify living and nonliving things,"All living things are made up of cells. Plants, animals, and some fungi have many cells. Other living things are made up of just one cell.
All living things need food and water. Water helps living things break down food and remove waste. Food gives living things energy. They use energy from food to grow and change.
All living things sense changes in their environment. Living things might sense changes by seeing, smelling, hearing, or feeling. Living things can respond to the changes they sense.","A helicopter is not a living thing.
A helicopter does not have all the traits of a living thing. It needs energy to fly, but it does not eat food. Helicopters get energy from gasoline or other fuel. They do not grow.
A beach ball is not a living thing.
Beach balls do not have all of the traits of living things. They do not grow or respond to their environment. They do not need food or water.
A bracelet is not a living thing.
Bracelets do not have all of the traits of living things. They do not grow or respond to their environment. They do not need food or water.
A clownfish is a living thing.
Clownfishes grow and respond to their environment. They need food and water. Clownfishes are made up of many cells.",clownfish,0,,A,Reasoning:A clownfish is a living thing. The final answer: (A).,A clownfish is a living thing.,A,1
9415,,How long is a guitar?,"['33 inches', '33 feet', '33 miles', '33 yards']",0,Select the best estimate.,closed choice,grade8,natural science,units-and-measurement,Flip-to-correct,"Choose customary units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using customary units, length may be written with units of inches, feet, yards, or miles.
There are 12 inches in 1 foot, and 3 feet in 1 yard. There are 5,280 feet in 1 mile.
A football is about 1 foot long. A football field is 100 yards long.","The best estimate for the length of a guitar is 33 inches.
33 feet, 33 yards, and 33 miles are all too long.",33 inches,0,,A,Reasoning:A guitar is 33 inches long. The final answer: (A).,A guitar is 33 inches long.,A,1
10893,,Select the vertebrate.,"['monarch butterfly', 'atlantic salmon', 'red-kneed tarantula', 'hissing cockroach']",1,"Hint: Mammals, birds, fish, reptiles, and amphibians are vertebrates.",closed choice,grade5,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","Like other tarantulas, a red-kneed tarantula is an invertebrate. It does not have a backbone. It has an exoskeleton.
A monarch butterfly is an insect. Like other insects, a monarch butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.
An atlantic salmon is a fish. Like other fish, an atlantic salmon is a vertebrate. It has a backbone.
A hissing cockroach is an insect. Like other insects, a hissing cockroach is an invertebrate. It does not have a backbone. It has an exoskeleton.",(A),0,A,B,Reasoning:Vertebrates are a group of living organisms. Invertebrates are the vertebrates. The final answer: (B).,Vertebrates are a group of living organisms. Invertebrates are the vertebrates.,B,1
